Title,Title_URL,Image,textweb_textsc1cyx7780,Price,textweb_textsc1cyx77801,chipsc11o9f920,button_styledbuttonsc1py7swr0
"Daikin 1.5 Ton 5 Star Smart Wifi Inverter Split AC,FTKR50U (100 Percent Copper, PM 2.5 Filter, 3D Airflow,Triple Display, Dew Clean technology,Voice controlled with Alexa & Google Home, 2023)",https://www.reliancedigital.in/daikin-1-5-ton-5-star-smart-wifi-inverter-split-ac-ftkr50u-100-percent-copper-pm-2-5-filter-3d-airflow-triple-display-dew-clean-technology-voice-controlled-with-alexa-google-home-2023-/p/581026889,https://www.reliancedigital.in/medias/Daikin-FTKR50U-Air-Conditioners-581026889-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTIzNnxpbWFnZS9qcGVnfGltYWdlcy9oMTAvaGRhLzk4MDQwNTEwMjE4NTQuanBnfDFlOTczYTVlOWY1ZTU1OWUwMmM0ZTNkYjNiNDNjYTM3NzJmYTcwYWZiZDc1YWI1NTAyYWMwZDg2MmY0NzE0YjM,"46,990.00","71,200.00","34%(₹24,210)",OFFERS AVAILABLE, Wishlist
"Daikin 1.8 Ton 5 Star Smart WiFi Inverter Split AC,FTKR60U (100 Percent Copper, PM 2.5 Filter, 3D Airflow,Triple Display, Dew Clean technology,Voice controlled with Alexa & Google Home, 2023)",https://www.reliancedigital.in/daikin-1-8-ton-5-star-smart-wifi-inverter-split-ac-ftkr60u-100-percent-copper-pm-2-5-filter-3d-airflow-triple-display-dew-clean-technology-voice-controlled-with-alexa-google-home-2023-/p/581026890,https://www.reliancedigital.in/medias/Daikin-FTKR60U-Air-Conditioners-581026890-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTMzMnxpbWFnZS9qcGVnfGltYWdlcy9oZjcvaDllLzk4MDQwNDk3MTExMzQuanBnfDExYWNiNjNkNWU3NWRlNTYzYTk4MjQ5Mjc4YjVkYzc0NDQzYTM2ZDMzM2NiZmU0ZmY0Nzg2N2RjN2U1MGRhN2Q,"64,990.00","88,900.00","27%(₹23,910)",OFFERS AVAILABLE, Wishlist
"Daikin 1 Ton 5 Star Smart WiFi Inverter Split AC,FTKR35U (100 Percent Copper, PM 2.5 Filter, 3D Airflow,Triple Display, Dew Clean technology,Voice controlled with Alexa & Google Home, 2023)",https://www.reliancedigital.in/daikin-1-ton-5-star-smart-wifi-inverter-split-ac-ftkr35u-100-percent-copper-pm-2-5-filter-3d-airflow-triple-display-dew-clean-technology-voice-controlled-with-alexa-google-home-2023-/p/581026888,https://www.reliancedigital.in/medias/Daikin-FTKR35U-Air-Conditioners-581026888-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTEyNXxpbWFnZS9qcGVnfGltYWdlcy9oN2IvaDBkLzk4MDQwNDY3NjIwMTQuanBnfDhjODgzMDE3OWUyOGVhOGU5NDhmNmQwNjc3Mzc5NmUzOTliMGQyOTE4ZjFkNjE4MjI0MTQxMmIwY2Y1NzgxY2Y,"39,990.00","58,800.00","32%(₹18,810)",OFFERS AVAILABLE, Wishlist
"SAMSUNG 1 Ton 3 Star Convertible Inverter Split AC, AR12CYLZAGE (5 in 1 Convertible, Wifi, AI Auto Cooling, 2023 Launch)",https://www.reliancedigital.in/samsung-1-ton-3-star-convertible-inverter-split-ac-ar12cylzage-5-in-1-convertible-wifi-ai-auto-cooling-2023-launch-/p/581110552,https://www.reliancedigital.in/build/client/images/loaders/mdefault.png,"49,990.00","50,990.00","2%(₹1,000)",OFFERS AVAILABLE, Wishlist
"LG 1.5 Ton 3 Star wifi 4 in 1 convertible Inverter window AC, PW-Q18WWXA ( Dual Inverter Compressor, Anti corrosive Ocean Black Protection, 2023 launch)",https://www.reliancedigital.in/lg-1-5-ton-3-star-wifi-4-in-1-convertible-inverter-window-ac-pw-q18wwxa-dual-inverter-compressor-anti-corrosive-ocean-black-protection-2023-launch-/p/493672594,https://www.reliancedigital.in/medias/LG-RW-Q18WWXA-Air-Conditioner-493672594-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyODk3MHxpbWFnZS9qcGVnfGltYWdlcy9oYjYvaDViLzk5NTI2NTI2MjM5MDIuanBnfDI2Y2RjYjcwM2RlOTI2M2Q3MGI1YmE3NThjMWUwMmE1MGEzM2QzMTdiZGIwMjdmZGYyYzk5ZWVjOWYyOGRkZTc,"35,490.00","65,990.00","46%(₹30,500)",OFFERS AVAILABLE, Wishlist
"Haier 2 Ton 3 star Inverter Tower AC, HPU24V-GCW3BE (Wifi control, Frost self clean, Hyper PCB, Super Anti corrosion,2023 launch)",https://www.reliancedigital.in/haier-2-ton-3-star-inverter-tower-ac-hpu24v-gcw3be-wifi-control-frost-self-clean-hyper-pcb-super-anti-corrosion-2023-launch-/p/581110332,https://www.reliancedigital.in/medias/Haier-HPU24V-GCW3BP-INV-Air-Conditioner-581110332-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDUzM3xpbWFnZS9qcGVnfGltYWdlcy9oNmIvaGYxLzk5NjM4MzUxMjk4ODYuanBnfDllODgwZDYzYmI3NWUwNWZiNzNmMWNiZDU1NDE3MmE1ZjJjNGVhN2MyMjBkMzlkMjBhODRkODZmNzNlOGVhOWM,"89,990.00","1,35,000.00","33%(₹45,010)",OFFERS AVAILABLE, Wishlist
"Samsung 1.5 Ton 4 Star windfree inverter split AC, AR18CY4AMWK  (Wifi, HD filter, 100 Percent copper, 4 way swing, freeze wash, 2023 launch)",https://www.reliancedigital.in/samsung-1-5-ton-4-star-windfree-inverter-split-ac-ar18cy4amwk-wifi-hd-filter-100-percent-copper-4-way-swing-freeze-wash-2023-launch-/p/581110397,https://www.reliancedigital.in/medias/Samsung-AR18CY4AMWK-Air-Conditioner-581110397-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjYyMnxpbWFnZS9qcGVnfGltYWdlcy9oMDkvaDZjLzk5NjgzMzE3ODQyMjIuanBnfDliY2U1OGIyZjM3MWM0YzFlYmY5MjE2OTJhYjBmOTc4YWM4ZjVmYjYwMjU1Njk4MTllNzU5MzY4OGJiZTk1OTg,"42,490.00","69,990.00","39%(₹27,500)",OFFERS AVAILABLE, Wishlist
"LG 2 Ton 4 Star wifi 4 in 1 convertible Inverter window AC, RW-Q24WWYA ( Dual Inverter Compressor, Anti corrosive Ocean Black Protection, 2023 launch)",https://www.reliancedigital.in/lg-2-ton-4-star-wifi-4-in-1-convertible-inverter-window-ac-rw-q24wwya-dual-inverter-compressor-anti-corrosive-ocean-black-protection-2023-launch-/p/493672596,https://www.reliancedigital.in/medias/LG-RW-Q24WWYA-Air-Conditioner-493672596-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyODk3MHxpbWFnZS9qcGVnfGltYWdlcy9oYTAvaDYzLzk5NTI2NTI5NTE1ODIuanBnfGE0M2M3YmNlNjRhNGI5NWJjZmEzOGMxMTg4MTM2ZmIzNzQ0YjhjYjc0NzcxYzA2NzQ0YzE2ZjJhMjk5MGMzZmE,"47,990.00","75,990.00","37%(₹28,000)",OFFERS AVAILABLE, Wishlist
"Panasonic 1T 5 Star 7 in 1 Wi-Fi Convertible Inverter Split AC, AU12ZKY5F ( 4 way swing, MirAie function (Wi-Fi), R32, PM 0.1 Filter, 2023 launch)",https://www.reliancedigital.in/panasonic-1t-5-star-7-in-1-wi-fi-convertible-inverter-split-ac-au12zky5f-4-way-swing-miraie-function-wi-fi-r32-pm-0-1-filter-2023-launch-/p/581110368,https://www.reliancedigital.in/medias/Panasonic-CS-CU-AU12ZKY5F-Air-Conditioner-581110368-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDE3N3xpbWFnZS9qcGVnfGltYWdlcy9oMmEvaDhhLzk5NjcwNjcwNzA0OTQuanBnfGRlZmQ1ZGM3NGFlMmJkNjNkZjA1ZjI2ZDMyZWJhNjQwZjA3YTJhMzhlYmZjZjlhZjAwMmRlMDUzNDIwMjdhMGE,"40,990.00","61,400.00","33%(₹20,410)",OFFERS AVAILABLE, Wishlist
"Panasonic 2T 5 Star 7 in 1 Wi-Fi Convertible Inverter Split AC, ZU24ZKYF ( 4 way swing, MirAie function (Wi-Fi), R32, shield blu plus, 2023 launch)",https://www.reliancedigital.in/panasonic-2t-5-star-7-in-1-wi-fi-convertible-inverter-split-ac-zu24zkyf-4-way-swing-miraie-function-wi-fi-r32-shield-blu-plus-2023-launch-/p/581110370,https://www.reliancedigital.in/medias/Panasonic-CS-CU-ZU24ZKYF-Air-Conditioner-581110370-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMzI3OHxpbWFnZS9qcGVnfGltYWdlcy9oNGUvaGNlLzk5NjcwNzA2NzQ5NzQuanBnfGRlMzMwYTcxNjQ3MTZiZDVlYzgwODIzMGE0NWUzOWRmZWZmNTRhNzgwYzU1MDBjZWI2M2Y1MzMxZGI4N2EwYmQ,"66,990.00","87,900.00","24%(₹20,910)",OFFERS AVAILABLE, Wishlist
"Panasonic 2T 3 Star 7-in-1 Wi-Fi Convertible Inverter Split AC, AU24ZKY3F (4 way swing, MirAie function (Wi-Fi), R32, PM 0.1 filteration, 2023 launch)",https://www.reliancedigital.in/panasonic-2t-3-star-7-in-1-wi-fi-convertible-inverter-split-ac-au24zky3f-4-way-swing-miraie-function-wi-fi-r32-pm-0-1-filteration-2023-launch-/p/581110378,https://www.reliancedigital.in/medias/Panasonic-CS-CU-AU24ZKY3F-Air-Conditioner-581110378-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDE3N3xpbWFnZS9qcGVnfGltYWdlcy9oNTcvaGI3Lzk5NjU5NjM2NDA4NjIuanBnfDE4NzI4ODFlNjg3ZWYzNTFkYmZlMWQyOTdhMTc5NDBiYWM4MzdhOWFlZWZiZGYxMjc3ZGFkYTBhYWYzODBjMTc,"59,990.00","76,150.00","21%(₹16,160)",OFFERS AVAILABLE, Wishlist
"LG 1 Ton 5 Star Wifi Inverter Split AC, RS-Q14GWZE (AI Plus Dual Inverter Compressor, Anti Corrosive Ocean Black Protection, 2023 launch)",https://www.reliancedigital.in/lg-1-ton-5-star-wifi-inverter-split-ac-rs-q14gwze-ai-plus-dual-inverter-compressor-anti-corrosive-ocean-black-protection-2023-launch-/p/581110277,https://www.reliancedigital.in/medias/LG-RS-Q14GWZE-Air-Conditioner-581110277-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjY1NXxpbWFnZS9qcGVnfGltYWdlcy9oM2QvaGNlLzk5NTI1NDA4ODUwMjIuanBnfDllNjE3OWJmYTVkMDZjYjIwMmE0ZTRkMDk5MTc3ZWZlMmNhMjgzMGQ2NmMwY2RlMGNiZWUwYzNiMjBiZjUxYjM,"36,590.00","68,990.00","47%(₹32,400)",OFFERS AVAILABLE, Wishlist
